,index,game,Player_ID,Team,Opportunities,Contains,Player_Name,Position
915,46378_NO,2022091100,46378,NO,0,0,J.T. Gray,SS
916,48537_NO,2022091100,48537,NO,8,3,Carl Granderson,DE
917,38592_ATL,2022091100,38592,ATL,6,0,Casey Hayward,CB
918,46091_ATL,2022091100,46091,ATL,15,10,Rashaan Evans,ILB
919,46135_ATL,2022091100,46135,ATL,10,4,Lorenzo Carter,OLB
920,46841_ATL,2022091100,46841,ATL,2,1,Matt Dickerson,DT
921,48520_ATL,2022091100,48520,ATL,5,3,Anthony Rush,DT
922,52424_ATL,2022091100,52424,ATL,12,7,A.J. Terrell,CB
923,52527_ATL,2022091100,52527,ATL,10,5,Mykal Walker,ILB
924,52542_ATL,2022091100,52542,ATL,9,4,Jaylinn Hawkins,FS
925,53469_ATL,2022091100,53469,ATL,9,6,Richie Grant,SS
926,53611_ATL,2022091100,53611,ATL,5,2,Adetokunbo Ogundeji,OLB
927,55173_ATL,2022091100,55173,ATL,5,3,Timmy Horne,DT
928,42480_ATL,2022091100,42480,ATL,9,5,Grady Jarrett,DT
929,53577_ATL,2022091100,53577,ATL,5,1,Ta'Quon Graham,DE
930,54503_ATL,2022091100,54503,ATL,2,2,Arnold Ebiketie,OLB
931,46823_ATL,2022091100,46823,ATL,4,4,Mike Ford,CB
932,42553_NO,2022091100,42553,NO,6,0,Christian Ringo,DT
933,46197_NO,2022091100,46197,NO,6,2,Kentavius Street,DT
934,53457_NO,2022091100,53457,NO,2,0,Payton Turner,DE
935,52272_ATL,2022091100,52272,ATL,2,0,Dee Alford,CB
936,39908_ATL,2022091100,39908,ATL,0,0,Erik Harris,FS
937,42901_ATL,2022091100,42901,ATL,1,0,Dean Marlowe,SS
938,48013_ATL,2022091100,48013,ATL,1,1,Quinton Bell,OLB
939,53537_ATL,2022091100,53537,ATL,0,0,Darren Hall,CB
1809,42368_CAR,2022091101,42368,CAR,10,4,Shaq Thompson,ILB
1810,43441_CAR,2022091101,43441,CAR,8,2,Matt Ioannidis,DT
1811,43797_CAR,2022091101,43797,CAR,3,1,Cory Littleton,OLB
1812,45004_CAR,2022091101,45004,CAR,12,6,Xavier Woods,FS
1813,46124_CAR,2022091101,46124,CAR,5,5,Donte Jackson,CB
1814,47799_CAR,2022091101,47799,CAR,13,3,Brian Burns,OLB
1815,52417_CAR,2022091101,52417,CAR,2,1,C.J. Henderson,CB
1816,52446_CAR,2022091101,52446,CAR,6,1,Yetur Gross-Matos,OLB
1817,52472_CAR,2022091101,52472,CAR,11,5,Jeremy Chinn,FS
1818,52592_CAR,2022091101,52592,CAR,6,1,Bravvion Roy,DT
1819,52852_CAR,2022091101,52852,CAR,3,1,Myles Hartsfield,FS
1820,42436_CAR,2022091101,42436,CAR,6,1,Henry Anderson,DE
1821,42470_CAR,2022091101,42470,CAR,7,2,Damien Wilson,MLB
1822,46527_CAR,2022091101,46527,CAR,10,3,Frankie Luvu,ILB
1823,53437_CAR,2022091101,53437,CAR,6,3,Jaycee Horn,CB
1824,53661_CAR,2022091101,53661,CAR,9,3,Phil Hoskins,DT
1825,52415_CAR,2022091101,52415,CAR,9,2,Derrick Brown,DE
1826,46205_CAR,2022091101,46205,CAR,5,1,Marquis Haynes,OLB
1827,41227_CLE,2022091101,41227,CLE,3,1,Jadeveon Clowney,DE
1828,44903_CLE,2022091101,44903,CLE,7,5,John Johnson,FS
1829,44974_CLE,2022091101,44974,CLE,4,0,Anthony Walker,MLB
1830,46073_CLE,2022091101,46073,CLE,3,1,Denzel Ward,CB
1831,46098_CLE,2022091101,46098,CLE,2,0,Taven Bryan,DT
1832,52452_CLE,2022091101,52452,CLE,6,3,Grant Delpit,SS
1833,52496_CLE,2022091101,52496,CLE,6,2,Jordan Elliott,DT
1834,53455_CLE,2022091101,53455,CLE,6,1,Greg Newsome,CB
1835,53481_CLE,2022091101,53481,CLE,7,2,Jeremiah Owusu-Koramoah,OLB
1836,54533_CLE,2022091101,54533,CLE,7,4,Martin Emerson,CB
1837,54543_CLE,2022091101,54543,CLE,2,0,Alex Wright,DE
1838,44813_CLE,2022091101,44813,CLE,2,0,Myles Garrett,DE
1839,46162_CLE,2022091101,46162,CLE,3,0,Ronnie Harrison,SS
1840,52505_CLE,2022091101,52505,CLE,4,0,Jacob Phillips,MLB
1841,47863_CLE,2022091101,47863,CLE,0,0,Sione Takitaki,OLB
1842,45038_CLE,2022091101,45038,CLE,1,1,Isaac Rochell,DE
1843,53561_CLE,2022091101,53561,CLE,0,0,Tommy Togiai,DT
1844,54573_CLE,2022091101,54573,CLE,0,0,Perrion Winfrey,DT
2714,37087_CHI,2022091102,37087,CHI,4,2,Robert Quinn,OLB
2715,42443_CHI,2022091102,42443,CHI,11,1,Angelo Blackson,DT
2716,44925_CHI,2022091102,44925,CHI,14,4,Eddie Jackson,SS
2717,45009_CHI,2022091102,45009,CHI,7,2,Al-Quadin Muhammad,DE
2718,45345_CHI,2022091102,45345,CHI,21,10,Nicholas Morrow,OLB
2719,46077_CHI,2022091102,46077,CHI,26,7,Roquan Smith,ILB
2720,46153_CHI,2022091102,46153,CHI,7,3,Justin Jones,DT
2721,52458_CHI,2022091102,52458,CHI,7,6,Jaylon Johnson,CB
2722,52571_CHI,2022091102,52571,CHI,10,2,Kindle Vildor,CB
2723,54504_CHI,2022091102,54504,CHI,10,7,Kyler Gordon,CB
2724,54513_CHI,2022091102,54513,CHI,18,2,Jaquan Brisker,SS
2725,38868_SF,2022091102,38868,SF,7,2,Tashaun Gipson,FS
2726,42360_SF,2022091102,42360,SF,8,2,Arik Armstead,DT
2727,44938_SF,2022091102,44938,SF,13,8,Samson Ebukam,DE
2728,46139_SF,2022091102,46139,SF,14,5,Fred Warner,ILB
2729,46354_SF,2022091102,46354,SF,9,4,Emmanuel Moseley,CB
2730,46757_SF,2022091102,46757,SF,7,3,Charvarius Ward,CB
2731,47785_SF,2022091102,47785,SF,11,4,Nick Bosa,DE
2732,47931_SF,2022091102,47931,SF,18,7,Dre Greenlaw,ILB
2733,52422_SF,2022091102,52422,SF,9,2,Javon Kinlaw,DT
2734,53609_SF,2022091102,53609,SF,19,10,Talanoa Hufanga,SS
2735,54637_SF,2022091102,54637,SF,3,2,Samuel Womack,CB
2736,46290_CHI,2022091102,46290,CHI,9,3,Matthew Adams,OLB
2737,47973_CHI,2022091102,47973,CHI,7,4,Armon Watts,NT
2738,52563_CHI,2022091102,52563,CHI,9,5,Trevis Gipson,OLB
2739,54639_CHI,2022091102,54639,CHI,9,4,Dominique Robinson,DE
2740,41786_SF,2022091102,41786,SF,2,1,Kerry Hyder,DE
2741,43405_SF,2022091102,43405,SF,4,1,Hassan Ridgeway,DT
2742,48123_SF,2022091102,48123,SF,2,1,Kevin Givens,DT
2743,48268_SF,2022091102,48268,SF,9,2,Azeez Al-Shaair,ILB
2744,47944_SF,2022091102,47944,SF,2,0,Charles Omenihu,DE
2745,54526_SF,2022091102,54526,SF,3,2,Drake Jackson,DE
2746,41595_CHI,2022091102,41595,CHI,7,1,Mike Pennel,NT
2747,53601_SF,2022091102,53601,SF,0,0,Deommodore Lenoir,CB
3617,43299_CIN,2022091103,43299,CIN,4,1,Eli Apple,CB
3618,43350_CIN,2022091103,43350,CIN,11,6,Vonn Bell,SS
3619,43641_CIN,2022091103,43641,CIN,7,6,Mike Hilton,CB
3620,44872_CIN,2022091103,44872,CIN,9,3,Chidobe Awuzie,CB
3621,44915_CIN,2022091103,44915,CIN,4,2,Trey Hendrickson,DE
3622,45226_CIN,2022091103,45226,CIN,4,4,Josh Tupou,NT
3623,46123_CIN,2022091103,46123,CIN,8,5,Jessie Bates,FS
3624,46146_CIN,2022091103,46146,CIN,8,5,Sam Hubbard,DE
3625,47855_CIN,2022091103,47855,CIN,13,8,Germaine Pratt,OLB
3626,52473_CIN,2022091103,52473,CIN,17,8,Logan Wilson,ILB
3627,54560_CIN,2022091103,54560,CIN,2,1,Zach Carter,DT
3628,35449_PIT,2022091103,35449,PIT,7,4,Tyson Alualu,NT
3629,37104_PIT,2022091103,37104,PIT,10,2,Cameron Heyward,DT
3630,43325_PIT,2022091103,43325,PIT,22,13,Myles Jack,ILB
3631,43400_PIT,2022091103,43400,PIT,0,0,Miles Killebrew,SS
3632,44842_PIT,2022091103,44842,PIT,13,6,T.J. Watt,OLB
3633,44877_PIT,2022091103,44877,PIT,12,3,Larry Ogunjobi,DT
3634,44878_PIT,2022091103,44878,PIT,15,9,Ahkello Witherspoon,CB
3635,46080_PIT,2022091103,46080,PIT,6,5,Minkah Fitzpatrick,FS
3636,46097_PIT,2022091103,46097,PIT,5,3,Terrell Edmunds,SS
3637,47793_PIT,2022091103,47793,PIT,12,6,Devin Bush,ILB
3638,52510_PIT,2022091103,52510,PIT,9,4,Alex Highsmith,OLB
3639,43455_CIN,2022091103,43455,CIN,10,2,D.J. Reader,NT
3640,46138_CIN,2022091103,46138,CIN,6,4,B.J. Hill,DT
3641,44906_PIT,2022091103,44906,PIT,5,4,Cameron Sutton,CB
3642,46698_PIT,2022091103,46698,PIT,5,5,Levi Wallace,CB
3643,52515_CIN,2022091103,52515,CIN,1,0,Akeem Davis-Gaither,OLB
3644,53498_CIN,2022091103,53498,CIN,0,0,Joseph Ossai,DE
3645,45395_PIT,2022091103,45395,PIT,7,4,Arthur Maulet,CB
3646,52971_PIT,2022091103,52971,PIT,4,2,Jamir Jones,OLB
3647,53674_PIT,2022091103,53674,PIT,1,1,Tre Norwood,FS
3648,44886_PIT,2022091103,44886,PIT,10,4,Chris Wormley,DE
3649,44905_PIT,2022091103,44905,PIT,1,0,Montravius Adams,NT
3650,53540_CIN,2022091103,53540,CIN,2,2,Cam Sample,DE
3651,48089_PIT,2022091103,48089,PIT,4,2,Malik Reed,OLB
3652,54549_PIT,2022091103,54549,PIT,2,0,DeMarvin Leal,DE
3653,46215_CIN,2022091103,46215,CIN,0,0,Tre Flowers,CB
3654,52623_CIN,2022091103,52623,CIN,1,1,Markus Bailey,ILB
3655,54496_CIN,2022091103,54496,CIN,0,0,Dax Hill,FS
3656,46902_PIT,2022091103,46902,PIT,8,3,Robert Spillane,ILB
4526,44834_DET,2022091104,44834,DET,12,8,Charles Harris,OLB
4527,44888_DET,2022091104,44888,DET,20,15,Alex Anzalone,ILB
4528,46099_DET,2022091104,46099,DET,3,0,Mike Hughes,CB
4529,46151_DET,2022091104,46151,DET,13,6,Tracy Walker,FS
4530,46259_DET,2022091104,46259,DET,12,7,DeShon Elliott,FS
4531,47864_DET,2022091104,47864,DET,1,1,Will Harris,SS
4532,47900_DET,2022091104,47900,DET,6,5,Austin Bryant,OLB
4533,47929_DET,2022091104,47929,DET,5,4,Amani Oruwariye,CB
4534,52743_DET,2022091104,52743,DET,3,1,Benito Jones,DT
4535,53501_DET,2022091104,53501,DET,8,4,Alim McNeill,NT
4536,54653_DET,2022091104,54653,DET,14,9,Malcolm Rodriguez,ILB
4537,39984_PHI,2022091104,39984,PHI,8,5,Darius Slay,CB
4538,43351_PHI,2022091104,43351,PHI,7,4,James Bradberry,CB
4539,44825_PHI,2022091104,44825,PHI,6,3,Haason Reddick,OLB
4540,46188_PHI,2022091104,46188,PHI,12,8,Kyzir White,ILB
4541,46194_PHI,2022091104,46194,PHI,12,6,Avonte Maddox,CB
4542,46199_PHI,2022091104,46199,PHI,4,3,Josh Sweat,DE
4543,47888_PHI,2022091104,47888,PHI,14,7,Chauncey Gardner-Johnson,SS
4544,47974_PHI,2022091104,47974,PHI,15,5,Marcus Epps,SS
4545,48516_PHI,2022091104,48516,PHI,18,10,T.J. Edwards,ILB
4546,53502_PHI,2022091104,53502,PHI,7,4,Milton Williams,DT
4547,53618_PHI,2022091104,53618,PHI,6,2,Marlon Tuipulotu,DT
4548,38542_PHI,2022091104,38542,PHI,4,1,Fletcher Cox,DT
4549,43378_PHI,2022091104,43378,PHI,5,2,Javon Hargrave,DT
4550,53663_PHI,2022091104,53663,PHI,0,0,Patrick Johnson,ILB
4551,54478_PHI,2022091104,54478,PHI,11,2,Jordan Davis,DT
4552,38544_DET,2022091104,38544,DET,3,1,Michael Brockers,DE
4553,46958_DET,2022091104,46958,DET,7,3,Chris Board,ILB
4554,52411_DET,2022091104,52411,DET,12,6,Jeff Okudah,CB
4555,54467_DET,2022091104,54467,DET,10,2,Aidan Hutchinson,DE
4556,47975_DET,2022091104,47975,DET,11,5,Isaiah Buggs,DT
4557,53542_DET,2022091104,53542,DET,6,3,Derrick Barnes,ILB
4558,52980_DET,2022091104,52980,DET,5,3,Juju Hughes,FS
4559,47918_DET,2022091104,47918,DET,4,3,John Cominsky,DT
4560,35452_PHI,2022091104,35452,PHI,2,0,Brandon Graham,DE
4561,44826_PHI,2022091104,44826,PHI,3,2,Derek Barnett,DE
4562,54548_PHI,2022091104,54548,PHI,0,0,Nakobe Dean,ILB
5432,41300_HOU,2022091105,41300,HOU,26,18,Christian Kirksey,OLB
5433,42441_HOU,2022091105,42441,HOU,13,5,Steven Nelson,CB
5434,43497_HOU,2022091105,43497,HOU,28,18,Kamu Grugier-Hill,ILB
5435,44964_HOU,2022091105,44964,HOU,21,16,Desmond King,CB
5436,46229_HOU,2022091105,46229,HOU,3,1,Ogbonnia Okoronkwo,DE
5437,46669_HOU,2022091105,46669,HOU,30,17,Jonathan Owens,FS
5438,46796_HOU,2022091105,46796,HOU,6,4,Demone Harris,DE
5439,53624_HOU,2022091105,53624,HOU,18,4,Roy Lopez,DT
5440,53712_HOU,2022091105,53712,HOU,8,4,Michael Dwumfour,DT
5441,54468_HOU,2022091105,54468,HOU,10,8,Derek Stingley,CB
5442,54502_HOU,2022091105,54502,HOU,28,15,Jalen Pitre,FS
5443,38540_IND,2022091105,38540,IND,5,3,Stephon Gilmore,CB
5444,45033_IND,2022091105,45033,IND,0,0,Ifeadi Odenigbo,DE
5445,45287_IND,2022091105,45287,IND,8,7,Kenny Moore,CB
5446,46133_IND,2022091105,46133,IND,6,2,Tyquan Lewis,DE
5447,46304_IND,2022091105,46304,IND,20,10,Zaire Franklin,OLB
5448,47872_IND,2022091105,47872,IND,19,12,Bobby Okereke,ILB
5449,47942_IND,2022091105,47942,IND,7,2,Byron Cowart,DT
5450,47947_IND,2022091105,47947,IND,10,6,E.J. Speed,OLB
5451,52493_IND,2022091105,52493,IND,2,0,Julian Blackmon,FS
5452,53483_IND,2022091105,53483,IND,1,1,Dayo Odeyingbo,DE
5453,54561_IND,2022091105,54561,IND,12,12,Nick Cross,SS
5454,43296_IND,2022091105,43296,IND,13,4,DeForest Buckner,DT
5455,43358_IND,2022091105,43358,IND,6,1,Yannick Ngakoue,DE
5456,44957_IND,2022091105,44957,IND,15,4,Grover Stewart,DT
5457,46729_IND,2022091105,46729,IND,3,3,Brandon Facyson,CB
5458,53450_IND,2022091105,53450,IND,13,6,Kwity Paye,DE
5459,35470_HOU,2022091105,35470,HOU,7,2,Jerry Hughes,DE
5460,43356_HOU,2022091105,43356,HOU,13,6,Maliek Collins,DT
5461,52498_HOU,2022091105,52498,HOU,8,1,Jonathan Greenard,DE
5462,55045_HOU,2022091105,55045,HOU,10,3,Kurt Hinish,DT
5463,41361_HOU,2022091105,41361,HOU,2,2,Kevin Pierre-Louis,OLB
5464,38843_IND,2022091105,38843,IND,0,0,Rodney McLeod,FS
5465,47832_IND,2022091105,47832,IND,0,0,Ben Banogu,DE
6335,35466_NE,2022091106,35466,NE,8,6,Devin McCourty,FS
6336,37308_NE,2022091106,37308,NE,7,2,Lawrence Guy,DT
6337,42433_NE,2022091106,42433,NE,4,1,Carl Davis,NT
6338,43522_NE,2022091106,43522,NE,6,1,Jalen Mills,CB
6339,43700_NE,2022091106,43700,NE,7,1,Jonathan Jones,CB
6340,44944_NE,2022091106,44944,NE,5,4,Deatrich Wise,DE
6341,46212_NE,2022091106,46212,NE,8,5,Ja'Whaun Bentley,ILB
6342,47826_NE,2022091106,47826,NE,3,2,Jahlani Tavai,ILB
6343,47938_NE,2022091106,47938,NE,8,5,Mack Wilson,OLB
6344,52445_NE,2022091106,52445,NE,7,2,Kyle Dugger,FS
6345,52991_NE,2022091106,52991,NE,4,1,Myles Bryant,CB
6346,43435_NE,2022091106,43435,NE,6,2,Matt Judon,OLB
6347,53467_NE,2022091106,53467,NE,5,3,Christian Barmore,DT
6348,42116_NE,2022091106,42116,NE,4,3,Adrian Phillips,SS
6349,44866_NE,2022091106,44866,NE,12,8,Raekwon McMillan,ILB
6350,43321_MIA,2022091106,43321,MIA,7,1,Emmanuel Ogbah,DE
6351,43327_MIA,2022091106,43327,MIA,2,1,Xavien Howard,CB
6352,44887_MIA,2022091106,44887,MIA,3,1,Duke Riley,ILB
6353,46142_MIA,2022091106,46142,MIA,11,6,Jerome Baker,ILB
6354,46307_MIA,2022091106,46307,MIA,9,3,Zach Sieler,DT
6355,47796_MIA,2022091106,47796,MIA,11,3,Christian Wilkins,DT
6356,48476_MIA,2022091106,48476,MIA,9,7,Nik Needham,CB
6357,52478_MIA,2022091106,52478,MIA,7,5,Brandon Jones,SS
6358,53447_MIA,2022091106,53447,MIA,6,3,Jaelan Phillips,OLB
6359,53465_MIA,2022091106,53465,MIA,6,6,Jevon Holland,FS
6360,54936_MIA,2022091106,54936,MIA,2,1,Kader Kohou,CB
6361,38548_MIA,2022091106,38548,MIA,5,4,Melvin Ingram,OLB
6362,43503_MIA,2022091106,43503,MIA,12,8,Elandon Roberts,ILB
6363,46312_MIA,2022091106,46312,MIA,5,1,Keion Crossen,CB
6364,52464_MIA,2022091106,52464,MIA,8,3,Raekwon Davis,NT
6365,40030_MIA,2022091106,40030,MIA,4,2,John Jenkins,NT
6366,47934_MIA,2022091106,47934,MIA,3,1,Andrew Van Ginkel,OLB
6367,44991_NE,2022091106,44991,NE,10,5,Davon Godchaux,NT
6368,52468_NE,2022091106,52468,NE,3,0,Josh Uche,OLB
6369,44837_NE,2022091106,44837,NE,1,0,Jabrill Peppers,SS
6370,54586_NE,2022091106,54586,NE,2,0,Jack Jones,CB
6371,46501_MIA,2022091106,46501,MIA,1,1,Elijah Campbell,CB
6372,54550_NE,2022091106,54550,NE,0,0,Marcus Jones,CB
7242,41243_NYJ,2022091107,41243,NYJ,18,9,C.J. Mosley,ILB
7243,41270_NYJ,2022091107,41270,NYJ,8,4,Lamarcus Joyner,SS
7244,43301_NYJ,2022091107,43301,NYJ,2,2,Sheldon Rankins,DT
7245,46186_NYJ,2022091107,46186,NYJ,17,11,Jordan Whitehead,SS
7246,46211_NYJ,2022091107,46211,NYJ,3,2,D.J. Reed,CB
7247,47786_NYJ,2022091107,47786,NYJ,6,2,Quinnen Williams,NT
7248,47881_NYJ,2022091107,47881,NYJ,15,7,Quincy Williams,OLB
7249,53583_NYJ,2022091107,53583,NYJ,8,4,Michael Carter,CB
7250,54469_NYJ,2022091107,54469,NYJ,7,4,Ahmad Gardner,CB
7251,54491_NYJ,2022091107,54491,NYJ,5,2,Jermaine Johnson,DE
7252,54582_NYJ,2022091107,54582,NYJ,2,2,Micheal Clemons,DE
7253,42467_NYJ,2022091107,42467,NYJ,6,3,Kwon Alexander,OLB
7254,44929_NYJ,2022091107,44929,NYJ,6,4,Carl Lawson,DE
7255,46204_NYJ,2022091107,46204,NYJ,4,1,John Franklin-Myers,DE
7256,33131_BAL,2022091107,33131,BAL,7,4,Calais Campbell,DE
7257,37145_BAL,2022091107,37145,BAL,5,1,Justin Houston,OLB
7258,41240_BAL,2022091107,41240,BAL,8,3,Kyle Fuller,CB
7259,43694_BAL,2022091107,43694,BAL,11,3,Michael Pierce,NT
7260,44828_BAL,2022091107,44828,BAL,11,5,Marlon Humphrey,CB
7261,44854_BAL,2022091107,44854,BAL,16,5,Marcus Williams,FS
7262,44999_BAL,2022091107,44999,BAL,14,6,Chuck Clark,SS
7263,52436_BAL,2022091107,52436,BAL,20,9,Patrick Queen,ILB
7264,53460_BAL,2022091107,53460,BAL,6,2,Odafe Oweh,OLB
7265,53533_BAL,2022091107,53533,BAL,6,1,Brandon Stephens,FS
7266,54479_BAL,2022091107,54479,BAL,5,3,Kyle Hamilton,FS
7267,37778_BAL,2022091107,37778,BAL,10,4,Josh Bynes,ILB
7268,52479_BAL,2022091107,52479,BAL,8,4,Justin Madubuike,DT
7269,52506_BAL,2022091107,52506,BAL,5,3,Malik Harrison,OLB
7270,52578_BAL,2022091107,52578,BAL,5,2,Broderick Washington,DT
7271,40095_BAL,2022091107,40095,BAL,3,1,Steven Means,OLB
7272,44815_NYJ,2022091107,44815,NYJ,4,4,Solomon Thomas,DT
7273,46141_NYJ,2022091107,46141,NYJ,4,1,Nathan Shepherd,DT
7274,46255_NYJ,2022091107,46255,NYJ,3,0,Jake Martin,DE
7275,52566_NYJ,2022091107,52566,NYJ,1,0,Bryce Hall,CB
7276,41363_BAL,2022091107,41363,BAL,0,0,Brent Urban,DE
7277,54584_BAL,2022091107,54584,BAL,1,0,Jalyn Armour-Davis,CB
7278,54606_BAL,2022091107,54606,BAL,1,1,Damarion Williams,CB
8148,43787_JAX,2022091109,43787,JAX,3,1,Roy Robertson-Harris,DT
8149,44902_JAX,2022091109,44902,JAX,5,1,Shaquill Griffin,CB
8150,44926_JAX,2022091109,44926,JAX,11,4,Rayshawn Jenkins,SS
8151,46249_JAX,2022091109,46249,JAX,9,1,Folorunso Fatukasi,DT
8152,46269_JAX,2022091109,46269,JAX,16,11,Foyesade Oluokun,ILB
8153,47790_JAX,2022091109,47790,JAX,8,1,Josh Allen,OLB
8154,52481_JAX,2022091109,52481,JAX,9,1,Davon Hamilton,DT
8155,53462_JAX,2022091109,53462,JAX,7,4,Tyson Campbell,CB
8156,53494_JAX,2022091109,53494,JAX,9,6,Andre Cisco,SS
8157,54466_JAX,2022091109,54466,JAX,11,5,Travon Walker,OLB
8158,54492_JAX,2022091109,54492,JAX,19,8,Devin Lloyd,ILB
8159,42488_WAS,2022091109,42488,WAS,7,3,Bobby McCain,FS
8160,43313_WAS,2022091109,43313,WAS,10,5,William Jackson,CB
8161,43373_WAS,2022091109,43373,WAS,5,2,Kendall Fuller,CB
8162,44829_WAS,2022091109,44829,WAS,4,0,Jonathan Allen,DT
8163,47809_WAS,2022091109,47809,WAS,7,2,Montez Sweat,DE
8164,47956_WAS,2022091109,47956,WAS,9,7,Cole Holcomb,ILB
8165,48566_WAS,2022091109,48566,WAS,6,1,Daniel Wise,DE
8166,52637_WAS,2022091109,52637,WAS,3,0,James Smith-Williams,DE
8167,53448_WAS,2022091109,53448,WAS,11,3,Jamin Davis,OLB
8168,53503_WAS,2022091109,53503,WAS,7,5,Benjamin St-Juste,CB
8169,53592_WAS,2022091109,53592,WAS,9,8,Darrick Forrest,SS
8170,42331_WAS,2022091109,42331,WAS,6,3,Efe Obada,DE
8171,52641_WAS,2022091109,52641,WAS,5,1,Casey Toohill,DE
8172,53675_WAS,2022091109,53675,WAS,1,0,Shaka Toney,DE
8173,54578_WAS,2022091109,54578,WAS,2,1,Percy Butler,FS
8174,46082_WAS,2022091109,46082,WAS,7,2,Daron Payne,DT
8175,46456_JAX,2022091109,46456,JAX,9,2,Darious Williams,CB
8176,43352_JAX,2022091109,43352,JAX,6,3,Adam Gotsis,DE
8177,54512_WAS,2022091109,54512,WAS,3,1,Phidarian Mathis,DT
8178,44880_JAX,2022091109,44880,JAX,4,1,Dawuane Smoot,DE
8179,46156_JAX,2022091109,46156,JAX,2,0,Arden Key,OLB
8180,54535_JAX,2022091109,54535,JAX,1,1,Chad Muma,ILB
8181,46649_WAS,2022091109,46649,WAS,1,1,Jeremy Reaves,FS
8182,52428_JAX,2022091109,52428,JAX,2,1,K'Lavon Chaisson,OLB
9052,43326_KC,2022091110,43326,KC,5,2,Chris Jones,DT
9053,46137_KC,2022091110,46137,KC,6,4,Justin Reid,SS
9054,46144_KC,2022091110,46144,KC,6,4,Derrick Nnadi,DT
9055,47846_KC,2022091110,47846,KC,5,2,Juan Thornhill,FS
9056,47984_KC,2022091110,47984,KC,10,7,Rashad Fenton,CB
9057,52546_KC,2022091110,52546,KC,13,6,L'Jarius Sneed,CB
9058,52585_KC,2022091110,52585,KC,3,0,Michael Danna,DE
9059,53487_KC,2022091110,53487,KC,16,9,Nick Bolton,ILB
9060,54495_KC,2022091110,54495,KC,6,2,George Karlaftis,DE
9061,54527_KC,2022091110,54527,KC,2,0,Bryan Cook,SS
9062,54708_KC,2022091110,54708,KC,0,0,Jaylen Watson,CB
